Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
Y,0.374,0.243,0.235,0.266,0.305,0,0,0
Y,0.399,0.230,0.238,0.291,0.312,0,0,0
Y,0.359,0.215,0.255,0.279,0.288,0,0,0
Y,0.381,0.222,0.260,0.313,0.297,0,0,0
Y,0.367,0.231,0.250,0.291,0.291,0,0,0
Y,0.379,0.232,0.230,0.297,0.297,0,0,0
Y,0.394,0.241,0.247,0.271,0.291,0,0,0
Y,0.381,0.212,0.267,0.280,0.259,0,0,0
Y,0.361,0.231,0.244,0.257,0.280,0,0,0
Y,0.377,0.228,0.272,0.283,0.276,0,0,0
Y,0.361,0.219,0.277,0.285,0.281,0,0,0
Y,0.387,0.242,0.273,0.255,0.275,0,0,0
Y,0.369,0.220,0.280,0.243,0.280,0,0,0
Y,0.401,0.234,0.273,0.282,0.262,0,0,0
Y,0.377,0.223,0.276,0.284,0.284,0,0,0
Y,0.404,0.220,0.272,0.271,0.295,0,0,0
Y,0.385,0.247,0.286,0.269,0.293,0,0,0
Y,0.374,0.240,0.272,0.263,0.322,0,0,0
Y,0.376,0.208,0.269,0.272,0.307,0,0,0
Y,0.385,0.220,0.297,0.259,0.302,0,0,0
Y,0.363,0.246,0.297,0.276,0.319,0,0,0
Y,0.409,0.244,0.311,0.277,0.297,0,0,0
Y,0.396,0.219,0.293,0.286,0.309,0,0,0
Y,0.386,0.232,0.287,0.260,0.274,0,0,0
Y,0.368,0.219,0.296,0.275,0.297,0,0,0
Y,0.381,0.247,0.282,0.283,0.302,0,0,0
Y,0.397,0.225,0.285,0.270,0.334,0,0,0
Y,0.388,0.239,0.272,0.291,0.336,0,0,0
Y,0.384,0.241,0.299,0.273,0.345,0,0,0
Y,0.386,0.230,0.297,0.271,0.361,0,0,0
Y,0.431,0.153,0.277,0.367,0.348,1,0,0
Y,0.441,0.185,0.272,0.388,0.363,1,0,0
Y,0.438,0.168,0.286,0.362,0.379,1,0,0
Y,0.440,0.160,0.273,0.361,0.368,1,0,0
Y,0.459,0.170,0.297,0.363,0.359,1,0,0
Y,0.451,0.168,0.280,0.365,0.374,1,0,0
Y,0.433,0.164,0.268,0.374,0.374,1,0,0
Y,0.431,0.156,0.281,0.380,0.350,1,0,0
Y,0.430,0.193,0.295,0.381,0.344,1,0,0
Y,0.430,0.174,0.295,0.382,0.338,1,0,0
